quarter,starter,trade up,premium,city,state
211,2012 Q3,194966.7,366333.3,781000.0,Oakland,California
212,2012 Q3,70600.0,115300.0,208516.7,Syracuse,New York
213,2012 Q3,62166.67,114933.3,202833.3,Wichita,Kansas
214,2012 Q3,69933.34,119966.7,235800.0,Buffalo,New York
215,2012 Q3,101600.0,188466.7,324966.7,Wilmington,Delaware
216,2012 Q3,84000.0,145666.7,281137.3,New Orleans,Louisiana
217,2012 Q3,95633.34,169600.0,548216.7,Charleston,South Carolina
218,2012 Q3,63933.33,121449.2,236783.3,Winston-Salem,North Carolina
219,2012 Q3,124858.3,191666.7,357300.0,Colorado Springs,Colorado
220,2012 Q3,56633.33,115666.7,235716.7,Akron,Ohio
221,2012 Q3,103333.3,159933.2,294300.0,Albuquerque,New Mexico
222,2012 Q3,174816.7,344948.3,703000.0,Silver Spring-Frederick-Rockville,Maryland
223,2012 Q3,99633.34,174966.7,324833.3,Richmond,Virginia
224,2012 Q3,68601.66,128633.3,244900.0,Gary,Indiana
225,2012 Q3,54016.67,112350.0,226333.3,Greensboro-High Point,North Carolina
226,2012 Q3,99900.0,169900.0,289916.7,Allentown,Pennsylvania
227,2012 Q3,44883.33,97300.0,189600.0,Dayton,Ohio
228,2012 Q3,68566.66,126000.0,244975.0,Omaha,Nebraska
229,2012 Q3,118466.7,179933.0,301633.3,Albany,New York
230,2012 Q3,70666.34,119900.0,221250.0,Rochester,New York
231,2012 Q3,65933.34,125650.0,239800.0,Little Rock,Arkansas
232,2012 Q3,128866.7,199999.8,353000.0,Worcester,Massachusetts
233,2012 Q3,106800.0,189579.2,327900.0,Madison,Wisconsin
234,2012 Q3,80666.66,144966.7,296300.0,Tucson,Arizona
235,2012 Q3,124683.3,204966.7,395650.0,New Haven,Connecticut
236,2012 Q3,117963.0,206658.3,431333.3,Sacramento,California
237,2012 Q3,59998.0,119900.0,229600.0,Grand Rapids,Michigan
238,2012 Q3,81233.34,169833.3,341266.7,Milwaukee,Wisconsin
239,2012 Q3,49900.0,124900.0,247966.7,Birmingham,Alabama
240,2012 Q3,66133.34,126600.0,265633.3,Greenville,South Carolina
241,2012 Q3,54933.33,109900.0,225166.7,Tulsa,Oklahoma
242,2012 Q3,59933.33,119333.3,229133.3,Columbia,South Carolina
243,2012 Q3,70600.0,122498.3,258600.0,Louisville,Kentucky
244,2012 Q3,59600.0,114600.0,268550.0,Deltona-Daytona Beach-Ormond Beach,Florida
245,2012 Q3,86466.66,179900.0,479666.7,Lake County-Kenosha County,IL-WI
246,2012 Q3,74233.34,159070.3,424933.3,North Port-Sarasota-Bradenton,Florida
247,2012 Q3,59933.33,117966.7,224966.7,Oklahoma City,Oklahoma
248,2012 Q3,189466.7,374966.7,997000.0,Fairfield County,Connecticut
249,2012 Q3,109966.3,185800.0,353100.0,Raleigh,North Carolina
250,2012 Q3,166616.7,297150.0,615083.3,Seattle,Washington
251,2012 Q3,199566.7,321633.3,629600.0,Boston,Massachusetts
252,2012 Q3,115300.0,183538.3,404966.7,Austin,Texas
253,2012 Q3,40566.0,105666.7,229333.3,Memphis,Tennessee
254,2012 Q3,134949.8,215300.0,367516.7,Hartford,Connecticut
255,2012 Q3,59966.67,129966.7,316633.3,Jacksonville,Florida
256,2012 Q3,58940.0,123300.0,264966.7,Knoxville,Tennessee
257,2012 Q3,139900.0,224966.7,401266.3,Portland,Oregon
258,2012 Q3,134900.0,219900.0,406600.0,Providence,Rhode Island
259,2012 Q3,199900.0,339000.0,639450.0,Cambridge-Newton-Framingham,Massachusetts
260,2012 Q3,69083.34,142564.2,381300.0,Cape Coral-Fort Myers,Florida
261,2012 Q3,14100.0,49900.0,139533.3,Detroit,Michigan
262,2012 Q3,272650.0,449966.7,899481.7,Orange County,California
263,2012 Q3,63416.5,125000.0,279633.3,Orlando,Florida
264,2012 Q3,59933.33,134966.7,369666.7,Fort Lauderdale,Florida
